,level_0,index,AGENCY_ID,AGENCY_NAME,AGENCY_AKA_KEYWORDS,AGENCY_DESCR,AGENCY_HRS,AGENCY_TXT_HRS,AGENCY_WEB_URL,AGENCY_FB_URL,AGENCY_TW_URL,AGENCY_PHONE,AGENCY_PHONE_NOTE
1478,1478,1479,1567,Audio Reading Service,"Allen County Public Library, Ars, Neirrs, Northeast Indiana Radio Reading Services",A nonprofit that provides public broadcasting venue to the Northeast Indiana area.,"{""open"":{""Friday"":[[[8,0],[17,0]]],""Thursday"":[[[8,0],[17,0]]],""Wednesday"":[[[8,0],[17,0]]],""Tuesday"":[[[8,0],[17,0]]],""Monday"":[[[8,0],[17,0]]]},""closed"":[]}",Mon-Fri 8am-5pm,www.acpl.info/ars,,,260-421-1376,
1479,1479,1480,1568,Pleasant Dale Church of The Brethren,,"A church with worship services and charitable outreach, including a food pantry.",,Vary,www.discoverpd.net,,,260-565-3797,
1480,1480,1481,1569,Three Rivers Festival,,Venue for event procedures and planning that hosts a variety of showcases and entertainment throughout downtown Fort Wayne.,"{""open"":{""Wednesday"":[[[9,0],[17,0]]],""Tuesday"":[[[9,0],[17,0]]],""Monday"":[[[9,0],[17,0]]],""Friday"":[[[9,0],[17,0]]],""Thursday"":[[[9,0],[17,0]]]},""closed"":[]}",Mon-Fri 9am-5pm,www.threeriversfestival.org,,,260-426-5556,
1481,1481,1482,1570,Colfax - Perry Township Public Library,"Colfax Public Library, Perry Township Public Library",A public library that provides access to fiction and non-fiction library materials to patrons of all ages.,,Mon and Wed 11am-6pm; Tues and Thurs 12:30pm-6:30pm; Fri 11am-5pm; Sat 10am-3pm,www.colfaxptpl.org,,,765-324-2915,
1482,1482,1483,1572,Clinton County Adult Education,"Learning Center Of Clinton County, Learning Network Of Clinton County, The Learning Center Of Clinton County, The Learning Network Of Clinton County",A nonprofit organization offering various education programs to those in Clinton County and surrounding areas.,"{""open"":{""Monday"":[[[10,0],[14,0]],[[16,0],[20,0]]],""Tuesday"":[[[10,0],[14,0]],[[16,0],[20,0]]],""Wednesday"":[[[10,0],[14,0]],[[16,0],[20,0]]],""Thursday"":[[[10,0],[14,0]],[[16,0],[20,0]]]},""closed"":[]}",Mon-Thurs 10am-2pm and 4pm-8pm,www.lnocc.org,www.facebook.com/clintoncoae,,765-659-6380,
1483,1483,1484,1574,Bullard's Farm Market,,"A market stand in Elkhart County, offering locally grown foods, baked goods, and fresh produce.","{""open"":{""Monday"":[[[9,0],[18,0]]],""Tuesday"":[[[9,0],[18,0]]],""Wednesday"":[[[9,0],[18,0]]],""Thursday"":[[[9,0],[18,0]]],""Friday"":[[[9,0],[18,0]]],""Saturday"":[[[9,0],[16,0]]]},""closed"":[]}",April 11th-Oct 31st Mon-Fri 9am-6pm; Sat 9am-4pm,,,,574-293-3276,
1484,1484,1485,1575,Goshen Farmers Market,,A nonprofit that hosts farmers market in Elkhart County where people can purchase fresh produce.,"{""open"":{""Tuesday"":[[[15,0],[19,0]]],""Saturday"":[[[8,0],[13,0]]]},""closed"":[]}",Tues 3pm-7pm; Sat 8am-1pm,www.goshenfarmersmarket.org,,,574-533-4747,
1485,1485,1486,1576,Fulton County Farmers Market,,"Market hosts a variety of food vendors, offering locally grown foods, baked goods, fresh produce, and entertainment.","{""open"":{""Saturday"":[[[8,0],[12,0]]]},""closed"":[]}",Sat 8am-noon,,,,574-223-4227,
1486,1486,1487,1577,Produce Patch Farm Market,,"Market hosts a variety of food vendors in Daviess, Dubious, Knox, Martin, and Orange County, offering locally grown foods, baked goods, fresh produce, and entertainment.",,Vary,www.producepatchfarmmarket.com,www.facebook.com/producepatchfarmmarket,,812-257-0805,
1487,1487,1488,1578,Dekalb County Assessor,"Dekalb County Assessors Office, Dekalb County Assessor's Office","Government agency that locates, identifies, and appraises all taxable property in DeKalb County.","{""open"":{""Friday"":[[[8,30],[16,30]]],""Thursday"":[[[8,30],[16,30]]],""Wednesday"":[[[8,30],[16,30]]],""Tuesday"":[[[8,30],[16,30]]],""Monday"":[[[8,30],[16,30]]]},""closed"":[]}",Mon-Fri 8:30am-4:30pm,www.co.dekalb.in.us,,,260-925-1824,
1488,1488,1489,1579,Fulton County Assessor,"Fulton County Assessors Office, Fulton County Assessor's Office","Government agency that locates, identifies, and appraises all taxable property in Fulton County.","{""open"":{""Friday"":[[[8,0],[16,0]]],""Thursday"":[[[8,0],[16,0]]],""Wednesday"":[[[8,0],[16,0]]],""Tuesday"":[[[8,0],[16,0]]],""Monday"":[[[8,0],[16,0]]]},""closed"":[]}",Mon-Fri 8am-4pm,www.co.fulton.in.us,,,574-223-2801,
1489,1489,1490,1582,Minnetrista Farmers Market,"Minnetrista Farmers Market, Minnetrista Farmer's Market, Minnetrista Farmers' Market",A farmers market located in the city of Muncie in Delaware County.,"{""open"":{""Thursday"":[[[9,0],[15,0]]],""Friday"":[[[9,0],[15,0]]],""Wednesday"":[[[9,0],[15,0]]],""Tuesday"":[[[9,0],[15,0]]],""Monday"":[[[9,0],[15,0]]]},""closed"":[]}",Mon-Fri 9am-3pm,www.minnetrista.net,,,765-287-3549,
1490,1490,1491,1584,Grant County Farmers Market,"Grant County Farmers Market, Grant County Farmer's Market, Grant County Farmers' Market",A farmers market program located in Grant County.,"{""open"":{""Thursday"":[[[10,0],[17,0]]],""Wednesday"":[[[10,0],[17,0]]],""Tuesday"":[[[10,0],[17,0]]],""Monday"":[[[10,0],[17,0]]],""Friday"":[[[10,0],[17,0]]]},""closed"":[]}",Mon-Fri 10am-5pm,,www.facebook.com/events/1859201420802770,,,
1491,1491,1492,1588,East Goshen Mennonite Church,,"A church with worship services and charitable outreach, including a food pantry.","{""open"":{""Wednesday"":[[[8,30],[12,30]]],""Tuesday"":[[[8,30],[12,30]]],""Monday"":[[[8,30],[12,30]]],""Friday"":[[[8,30],[12,30]]],""Thursday"":[[[8,30],[12,30]]]},""closed"":[]}",Mon-Fri 8:30am-12:30pm,www.eastgoshenmc.org,,,574-533-7161,
1492,1492,1493,1589,Emmanuel Lutheran Church,,"A church offering worship services and charitable outreach programs, including a food pantry.","{""open"":{""Monday"":[[[8,30],[16,30]]],""Tuesday"":[[[8,30],[16,30]]],""Wednesday"":[[[8,30],[16,30]]],""Thursday"":[[[8,30],[16,30]]],""Friday"":[[[8,30],[16,0]]]},""closed"":[]}",Mon-Thurs 8:30am-4:30pm; Fri 8:30am-4:00pm,www.emmanuellutheran.org,,,260-423-1369,
1493,1493,1494,1590,Gibson County Clerk,,"The County Clerk maintains records of all civil and criminal court activities; administers jury draw, child support collections, and voter registration; issues marriage licenses; and records state tax liens in Gibson County.","{""open"":{""Friday"":[[[8,0],[16,0]]],""Thursday"":[[[8,0],[16,0]]],""Wednesday"":[[[8,0],[16,0]]],""Tuesday"":[[[8,0],[16,0]]],""Monday"":[[[8,0],[16,0]]]},""closed"":[]}",Mon-Fri 8am-4pm,www.gibsoncounty-in.gov,,,812-386-6474,
1494,1494,1495,1591,Huntington County Clerk,,"The County Clerk maintains records of all civil and criminal court activities, administers jury draw, child support collections, and voter registration, issues marriage licenses and records state tax liens in the county.","{""open"":{""Monday"":[[[8,0],[12,0]],[[13,0],[16,30]]],""Tuesday"":[[[8,0],[12,0]],[[13,0],[16,30]]],""Wednesday"":[[[8,0],[12,0]],[[13,0],[16,30]]],""Thursday"":[[[8,0],[12,0]],[[13,0],[16,30]]],""Friday"":[[[8,0],[12,0]],[[13,0],[16,30]]]},""closed"":[]}",Mon-Fri 8am-noon and 1pm-4:30pm,www.huntington.in.us/county,,,260-358-4817,
1495,1495,1496,1592,Saint Therese Catholic Church,,"A church with worship services and charitable outreach, including a food pantry.","{""open"":{""Friday"":[[[8,0],[15,0]]],""Thursday"":[[[8,0],[15,0]]],""Wednesday"":[[[8,0],[15,0]]],""Tuesday"":[[[8,0],[15,0]]],""Monday"":[[[8,0],[15,0]]]},""closed"":[]}",Mon-Fri 8am-3pm,www.sttheresefw.org,,,260-747-9139,
1496,1496,1497,1593,First United Methodist Church of Greentown,"1St Umc Of Greentown, 1St United Methodist Church Of Greentown, Greentown 1St Umc, Greentown 1St United Methodist Church, Greentown First Umc, Greentown First United Methodist Church, Greentown Methodist Church","A church offering worship services and charitable outreach programs, including a paper pantry.","{""open"":{""Friday"":[[[9,0],[13,0]]],""Thursday"":[[[9,0],[13,0]]],""Wednesday"":[[[9,0],[13,0]]],""Tuesday"":[[[9,0],[13,0]]],""Monday"":[[[9,0],[13,0]]]},""closed"":[]}",Mon-Fri 9am-1pm,www.greentownfumc.com,,,765-628-3187,
1497,1497,1498,1594,Pregnancy Choices,"Greene County Pregnancy Care Center, Greene County Pregnancy Choices, Pregnancy Care Center Of Greene County, Pregnancy Choices Of Greene County",A nonprofit organization offering crisis pregnancy counseling and educational programs to expectant and new parents.,,"Mon, Tues, and Thurs 10am-4pm; Wed 10am-5pm",www.gcpchoices.org,,,812-847-4611,
1498,1498,1499,1595,Sacred Heart Parish,Saint Vincent De Paul Society of Fort Wayne,"A church with a charitable outreach, including a food pantry and emergency funds for people in financial crisis.","{""open"":{""Monday"":[[[8,30],[12,0]]],""Tuesday"":[[[8,30],[12,0]]],""Wednesday"":[[[8,30],[12,0]]],""Thursday"":[[[8,30],[12,0]]]},""closed"":[]}",Mon-Thurs 8:30am-noon,www.sacredheartfw.org,,,260-744-2519,
1499,1499,1500,1596,Auburn Presbyterian Church,,"A church with worship services and charitable outreach, including a soup kitchen.",,Vary,www.auburnpc.org,,,260-925-2987,
1500,1500,1501,1597,Unfailing Love Clinic,,A primary care clinic in Adams County serving people without insurance or high-deductible insurance.,,Mon 10am-5pm and Wed 10am-6pm,www.unfailingloveclinic.org,,,260-724-2911,
1501,1501,1502,1598,Francine's Friends,,,,Vary,,,,260-266-8120,
1502,1502,1503,1599,Abundant Life - The House of Mercy,,"A church providing worship services and charitable outreach including a food pantry, meal site, and clothing closet.",,Vary,,,,317-745-2257,
1503,1503,1504,1600,Fulton County Public Library,,A public library that provides access to fiction and non-fiction library materials to patrons of all ages.,,Vary per site,www.fulco.lib.in.us,,,574-223-2713,
1504,1504,1505,1601,New Hope Christian Center,,"A church with worship services and charitable outreach, including financial assistance.","{""open"":{""Monday"":[[[9,0],[15,0]]],""Tuesday"":[[[9,0],[15,0]]],""Wednesday"":[[[9,0],[15,0]]],""Thursday"":[[[9,0],[15,0]]],""Friday"":[[[9,0],[15,0]]]},""closed"":[]}",Mon-Fri 9am-3pm,www.newhope.in,,,260-837-3631,
1505,1505,1506,1602,The Cross Church,,"A church with worship services and charitable outreach, including a food pantry and limited financial assistance.","{""open"":{""Monday"":[[[9,0],[17,0]]],""Tuesday"":[[[9,0],[17,0]]],""Wednesday"":[[[9,0],[17,0]]],""Thursday"":[[[9,0],[17,0]]],""Friday"":[[[9,0],[13,30]]]},""closed"":[]}",Mon-Thurs 9am-5pm; Fri 9am-1:30pm,www.weRthecross.com,,,574-223-3107,
1506,1506,1507,1603,Aging and In - Home Services of Northeast Indiana - Meal Sites,"Area 3 Agency On Aging, Area Agency On Aging, Area Iii Agency On Aging, Area Three Agency On Aging","""Aging and In-Home Services provides nutrition services to approximately 900 elderly and disabled individuals monthly in the nine northeast counties of Indiana. Luncheon meals are provided daily, Monday through Friday, to both meal site and home-bound participants.""","{""open"":{""Monday"":[[[8,0],[16,30]]],""Friday"":[[[8,0],[16,30]]],""Thursday"":[[[8,0],[16,30]]],""Wednesday"":[[[8,0],[16,30]]],""Tuesday"":[[[8,0],[16,30]]]},""closed"":[]}",Mon-Fri 8am-4:30pm,www.agingihs.org,,,260-745-1200,
1507,1507,1508,1604,Fayette County Assessor,"Fayette County Assessors Office, Fayette County Assessor's Office","Government agency that locates, identifies, and appraises all taxable property in Fayette County.","{""open"":{""Monday"":[[[8,30],[16,0]]],""Tuesday"":[[[8,30],[16,0]]],""Wednesday"":[[[8,30],[16,0]]],""Thursday"":[[[8,30],[16,0]]],""Friday"":[[[8,30],[16,0]]]},""closed"":[]}","Mon, Tues, Thurs, and Fri 8:30am-4pm; Wed 8:30am-5pm",www.connersvillecommunity.com/fayette_county,,,765-825-4931,
1508,1508,1509,1605,Franklin County Assessor,"Franklin County Assessors Office, Franklin County Assessor's Office","Government agency that locates, identifies, and appraises all taxable property in Franklin County.","{""open"":{""Monday"":[[[8,30],[16,0]]],""Friday"":[[[8,30],[16,0]]],""Thursday"":[[[8,30],[16,0]]],""Wednesday"":[[[8,30],[16,0]]],""Tuesday"":[[[8,30],[16,0]]]},""closed"":[]}",Mon-Fri 8:30am-4pm,www.franklincounty.in.gov,,,765-647-4921,
1509,1509,1510,1608,Dubois County Court Appointed Special Advocates,"Dubois County CASA, Dubois County Court Appointed Special Advocate, Dubois County GAL, Dubois County Guardian Ad Litem","Court appointed special advocate/guardian ad litem program for children involved in Dubois County court cases due to neglect or abuse or because their parents are involved in divorce, guardianship, custody, and/or visitation disputes.","{""open"":{""Friday"":[[[8,0],[16,0]]],""Thursday"":[[[8,0],[16,0]]],""Wednesday"":[[[8,0],[16,0]]],""Tuesday"":[[[8,0],[16,0]]],""Monday"":[[[8,0],[16,0]]]},""closed"":[]}",Mon-Fri 8am-4pm,www.duboiscountycasa.org,,,812-639-0143,Program Director
1510,1510,1511,1612,Rehabilitation Hospital of Fort Wayne,"Lutheran Health Network, Rhfw","Rehabilitation Hospital of Fort Wayne's mission is ""As Northeast Indiana’s center of excellence for rehabilitation, the Rehabilitation Hospital of Fort Wayne provides individualized care for patients and families while rebuilding lives in a compassionate environment..""","{""open"":{""Friday"":[[[8,0],[16,0]]],""Thursday"":[[[8,0],[16,0]]],""Wednesday"":[[[8,0],[16,0]]],""Tuesday"":[[[8,0],[16,0]]],""Monday"":[[[8,0],[16,0]]]},""closed"":[]}",Mon-Fri 8am-4pm,www.rehabhospital.com,,,260-435-6100,
1511,1511,1512,1614,Fowler Baptist Church,,"A church with worship services and charitable outreach, including a food pantry.",,Vary,,www.facebook.com/openarmsfoodpantry.89,,765-884-0211,
1512,1512,1513,1615,Flora - Monroe Township Public Library,,Maintains a public lending library and provides phone-based reference assistance. In-house services include public computer and Internet access.,"{""open"":{""Monday"":[[[10,0],[17,30]]],""Tuesday"":[[[10,0],[19,30]]],""Wednesday"":[[[10,0],[17,30]]],""Thursday"":[[[10,0],[19,30]]],""Friday"":[[[10,0],[17,30]]],""Saturday"":[[[10,0],[14,0]]]},""closed"":[]}","Mon, Wed, and Fri 10am-5:30pm; Tues and Thurs 10am-7:30pm; Sat 10am-2pm",www.flora.lib.in.us,www.facebook.com/Flora-Monroe-Township-Public-Library-120435066143/?ref=hl,www.twitter.com/FMTPL,574-967-3912,
1513,1513,1514,1616,Burlington Community Library,"Burlington Library, Burlington Public Library",A public library that provides access to fiction and non-fiction library materials to patrons of all ages.,,Tues and Thurs 10am-5pm; Wed 3pm-7pm ET,www.burlingtonindiana.org,,,765-566-3166,
1514,1514,1515,1617,Carroll White REMC,,Provides electric service for customers within service area.,"{""open"":{""Monday"":[[[7,30],[16,30]]],""Friday"":[[[7,30],[16,30]]],""Thursday"":[[[7,30],[16,30]]],""Wednesday"":[[[7,30],[16,30]]],""Tuesday"":[[[7,30],[16,30]]]},""closed"":[]}",Mon-Fri 7:30am-4:30pm,www.cwremc.coop,,,574-583-7161,Office
1515,1515,1516,1618,Clark County REMC,,Provides electric service for customers within service area.,"{""open"":{""Monday"":[[[7,0],[16,0]]],""Friday"":[[[7,0],[16,0]]],""Thursday"":[[[7,0],[16,0]]],""Wednesday"":[[[7,0],[16,0]]],""Tuesday"":[[[7,0],[16,0]]]},""closed"":[]}",Mon-Fri 7am-4pm,www.theremc.com,,,812-246-3316,
1516,1516,1517,1619,Delphi Public Library,Delphi Library,A public library that provides access to fiction and non-fiction library materials to patrons of all ages.,"{""open"":{""Monday"":[[[9,0],[20,0]]],""Tuesday"":[[[9,0],[20,0]]],""Wednesday"":[[[9,0],[20,0]]],""Thursday"":[[[9,0],[20,0]]],""Friday"":[[[10,0],[18,0]]],""Saturday"":[[[10,0],[16,0]]]},""closed"":[]}",Winter Hours: Mon-Thurs 9am-8pm; Fri 10am-6pm; Sat 10am-5pm (Labor Day-Memorial Day)Summer Hours: Mon-Thurs 10am-7pm; Fri 10am-6pm; Sat 10am-4pm (Memorial Day-Labor Day),www.delphilibrary.org,,,765-564-2929,
1517,1517,1518,1620,Fulton County REMC,Fulton Remc,"A member corporation that provides electric service for rural customers in Fulton County and parts  parts of Cass, Marshall, Miami, and Pulaski counties.","{""open"":{""Friday"":[[[7,30],[16,30]]],""Thursday"":[[[7,30],[16,30]]],""Wednesday"":[[[7,30],[16,30]]],""Tuesday"":[[[7,30],[16,30]]],""Monday"":[[[7,30],[16,30]]]},""closed"":[]}",Mon-Fri 7:30am-4:30pm,www.fcremc.coop,,,574-223-3156,
1518,1518,1519,1621,Camden - Jackson Township Public Library,"Camden Jackson Township Public Library, Camden Public Library, Jackson Township Public Library",A public library that provides access to fiction and non-fiction library materials to patrons of all ages.,"{""open"":{""Tuesday"":[[[14,0],[18,30]]],""Saturday"":[[[9,0],[13,0]]],""Friday"":[[[14,0],[18,30]]],""Thursday"":[[[14,0],[18,30]]],""Wednesday"":[[[14,0],[18,30]]]},""closed"":[]}",Tues-Fri 2pm-6:30pm; Sat 9am-1pm,www.camden.lib.in.us,,,574-686-2120,
1519,1519,1520,1622,Harrison REMC,,"Provides electric service for customers in portions of Harrison County and portions of Clark, Crawford, Floyd, and Washington County.","{""open"":{""Friday"":[[[7,30],[16,30]]],""Thursday"":[[[7,30],[16,30]]],""Wednesday"":[[[7,30],[16,30]]],""Tuesday"":[[[7,30],[16,30]]],""Monday"":[[[7,30],[16,30]]]},""closed"":[]}",Mon-Fri 7:30am-4:30pm,www.harrisonremc.com,,,812-738-4115,
1520,1520,1521,1623,Heartland REMC,,Rural electric company that provides electric service for customers within its service area.,"{""open"":{""Friday"":[[[7,30],[16,0]]],""Thursday"":[[[7,30],[16,0]]],""Wednesday"":[[[7,30],[16,0]]],""Tuesday"":[[[7,30],[16,0]]],""Monday"":[[[7,30],[16,0]]]},""closed"":[]}",Mon-Fri 7:30am-4pm,www.heartlandremc.com,,,260-758-3155,Office
1521,1521,1522,1624,Utilities District of Western Indiana REMC,UDWI REMC,"Provides electric service to customers in Greene County and portions of Clay, Daviess, Knox, Lawrence, Martin, Monroe, Owen, Putnam, Sullivan, and Vigo counties.","{""open"":{""Friday"":[[[7,30],[16,30]]],""Thursday"":[[[7,30],[16,30]]],""Wednesday"":[[[7,30],[16,30]]],""Tuesday"":[[[7,30],[16,30]]],""Monday"":[[[7,30],[16,30]]]},""closed"":[]}",Mon-Fri 7:30am-4:30pm,www.udwiremc.com,,,812-384-4446,
1522,1522,1523,1625,Dubois REMC,"Dubois Remc, Dubois Rural Electric Cooperative",Energy cooperative that provides electric service to customers living within service area.,"{""open"":{""Thursday"":[[[7,0],[16,0]]],""Wednesday"":[[[7,0],[16,0]]],""Tuesday"":[[[7,0],[16,0]]],""Monday"":[[[7,0],[16,0]]],""Friday"":[[[7,0],[16,0]]]},""closed"":[]}",Mon-Fri 7am-4pm,www.duboisrec.com,,,812-482-5454,Office
1523,1523,1524,1626,Covington - Veedersburg Public Library,"Covington Public Library, Covington Veedersburg Public Library",A public library that provides access to fiction and non-fiction library materials to patrons of all ages.,,"Mon, Tues, and Thurs 10am-8pm; Wed and Fri 10am-6pm; Sat 10am-2pm",www.c-vpl.org,,,765-793-2572,Covington Library
1524,1524,1525,1627,Jasper - Dubois County Public Library,"Dubois Public Library, Gramelspacher-Gutzweiler House, Jasper Dubois Public Library, Jasper Public Library",A public library that provides access to fiction and non-fiction library materials to patrons of all ages.,,Mon-Thurs 9am-8pm; Fri and Sat 9am-5pm; Sun noon-5pm,www.jdcpl.us,www.facebook.com/jasperpubliclibrary,,812-482-2712,
1525,1525,1526,1628,Dubois County Clerk,,"The County Clerk maintains records of all civil and criminal court activities; administers jury draw, child support collections, and voter registration; issues marriage licenses; and records state tax liens in Dubois County.","{""open"":{""Monday"":[[[8,0],[16,0]]],""Tuesday"":[[[8,0],[16,0]]],""Wednesday"":[[[8,0],[18,0]]],""Thursday"":[[[8,0],[16,0]]],""Friday"":[[[8,0],[16,0]]]},""closed"":[]}","Mon, Tues, Thurs, and Fri 8am-4pm; Wed 8am-6pm",www.duboiscountyin.org,,,812-481-7035,
1526,1526,1527,1629,Veteran's Memorial of America,"Henager Family Museum Inc., Henager Museum, Henager's Memories And Nostalgia, National Veteran Memorial, National Veteran's Memorial",A nonprofit organization offering a food pantry to veterans in need.,,Vary,www.nationalveteransmemorial.org,,,812-795-2230,
1527,1527,1528,1630,Milner Community Health Care - Inc.,,"Provides a long-term housing option for seniors and persons with a disability who are no longer able to live on their own safely, but do not require 24-hour skilled nursing care. Routine personal care services include medication management and assistance with daily living activities (bathing, dressing, meal preparation, and housekeeping).","{""open"":{""Friday"":[[[8,0],[16,0]]],""Thursday"":[[[8,0],[16,0]]],""Wednesday"":[[[8,0],[16,0]]],""Tuesday"":[[[8,0],[16,0]]],""Monday"":[[[8,0],[16,0]]]},""closed"":[]}",Mon-Fri 8am-4pm,www.milnercares.com,,,765-379-2112,
1528,1528,1529,1631,Saint Vincent De Paul of Saint Joseph Roman Catholic Church,,A faith-based organization that provides a food pantry to persons in need.,"{""open"":{""Tuesday"":[[[9,0],[16,0]]],""Monday"":[[[9,0],[16,0]]],""Wednesday"":[[[9,0],[16,0]]],""Thursday"":[[[9,0],[16,0]]],""Friday"":[[[9,0],[16,0]]]},""closed"":[]}",School Year: Mon-Fri 9am-4pm -- Summer: Mon-Fri 9am-2pm,,,,765-482-5558,
1529,1529,1530,1632,Attica Public Library,,A public library that provides access to fiction and non-fiction library materials to patrons of all ages.,"{""open"":{""Monday"":[[[10,0],[18,0]]],""Tuesday"":[[[10,0],[19,0]]],""Wednesday"":[[[10,0],[19,0]]],""Thursday"":[[[10,0],[19,0]]],""Friday"":[[[10,0],[18,0]]],""Saturday"":[[[10,0],[14,0]]]},""closed"":[]}","Mon and Fri 10am-6pm; Tues, Wed, and Thurs 10am-7pm; Sat 10am-2pm",www.attica.lib.in.us,,,765-764-4194,
1530,1530,1531,1633,Mothers Against Drunk Driving - Indiana,MADD,"The Indiana chapter of a national nonprofit organization whose mission is ""to stop drunk driving, to support the victims of this violent crime and to help prevent underage drinking.""",,Vary,www.madd.org/in,,,317-781-6233,State Office
1531,1531,1532,1634,Cross Border Partners,,"A faith-based, nonprofit agency in Fort Wayne that provides a community thrift store, and charitable outreach for persons in need of household items.","{""open"":{""Tuesday"":[[[9,0],[16,0]]],""Thursday"":[[[9,0],[16,0]]]},""closed"":[]}",Tues and Thurs 9am-4pm,,,,260-484-8580,
1532,1532,1533,1636,office of Hispanic Ministry,"Catholic Charities, Diocese Of Evansville, Evdio, Oficina Del Ministerio Hispano, Ohm",A faith-based nonprofit organization offering a variety of charitable outreach programs to the Hispanic community of southwestern Indiana.,,Mon and Wed Thurs 10am-5pm;,www.evdio.org/hispanic-ministry.html,,,812-683-5212,
1533,1533,1534,1638,Knightstown Police Department,,"Provides law enforcement, crime investigation, crime prevention, emergency assistance, and other police duties for the town of Knightstown in Henry County.","{""open"":{""Friday"":[[[8,0],[16,0]]],""Thursday"":[[[8,0],[16,0]]],""Wednesday"":[[[8,0],[16,0]]],""Tuesday"":[[[8,0],[16,0]]],""Monday"":[[[8,0],[16,0]]]},""closed"":[]}",Mon-Fri 8am-4pm,,,,765-345-2785,Headquarters/City Dispatch
1534,1534,1535,1639,Cradles of Clay County - Inc,"C.R.A.D.L.E.S., Clay County Cradles, Cradles Of Clay County","A faith-based, non profit child care center offering parenting education workshops to parents.","{""open"":{""Friday"":[[[7,30],[16,30]]],""Thursday"":[[[7,30],[16,30]]],""Wednesday"":[[[7,30],[16,30]]],""Tuesday"":[[[7,30],[16,30]]],""Monday"":[[[7,30],[16,30]]]},""closed"":[]}",Mon-Fri 7:30am-4:30pm,www.cradlesofclaycounty.com,,,812-448-8112,
1535,1535,1536,1640,Gibson County Commissioners,,Serves as the executive and administrative authority for Gibson County.,"{""open"":{""Friday"":[[[8,0],[16,0]]],""Thursday"":[[[8,0],[16,0]]],""Wednesday"":[[[8,0],[16,0]]],""Tuesday"":[[[8,0],[16,0]]],""Monday"":[[[8,0],[16,0]]]},""closed"":[]}",Mon-Fri 8am-4pm,www.gibsoncounty-in.gov,,,812-385-8260,
1536,1536,1537,1641,Healthy Families of Adams County,,A nonprofit organization that provides parent education.,"{""open"":{""Friday"":[[[8,30],[16,30]]],""Thursday"":[[[8,30],[16,30]]],""Wednesday"":[[[8,30],[16,30]]],""Tuesday"":[[[8,30],[16,30]]],""Monday"":[[[8,30],[16,30]]]},""closed"":[]}",Mon-Fri 8:30am-4:30pm,,,,260-724-0491,
1537,1537,1538,1642,Marshall County Commissioners,,Serves as the executive and administrative authority for Marshall County.,"{""open"":{""Monday"":[[[8,0],[16,0]]],""Friday"":[[[8,0],[16,0]]],""Thursday"":[[[8,0],[16,0]]],""Wednesday"":[[[8,0],[16,0]]],""Tuesday"":[[[8,0],[16,0]]]},""closed"":[]}",Mon-Fri 8am-4pm,www.co.marshall.in.us,,,574-935-8555,Auditors Office
1538,1538,1539,1643,Triple P Elkhart County,,A nonprofit organization that offers parenting programs.,"{""open"":{""Wednesday"":[[[9,0],[17,0]]],""Tuesday"":[[[9,0],[17,0]]],""Monday"":[[[9,0],[17,0]]],""Friday"":[[[9,0],[17,0]]],""Thursday"":[[[9,0],[17,0]]]},""closed"":[]}",Mon-Fri 9am-5pm,www.triplepelkhartcounty.org,https://www.facebook.com/triplepinelkhartcounty/,,574-226-0160,
1539,1539,1540,1644,Adams County Building And Planning,,Oversees housing and commercial development and enforces zoning ordinances for the towns of Geneva and Monroe and rural areas of Adams County.,"{""open"":{""Thursday"":[[[8,0],[16,30]]],""Wednesday"":[[[8,0],[16,30]]],""Tuesday"":[[[8,0],[16,30]]],""Monday"":[[[8,0],[16,30]]],""Friday"":[[[8,0],[16,30]]]},""closed"":[]}",Mon-Fri 8am-4:30pm,www.adams-county.com/153/Building-Planning,,,260-724-5305,
1540,1540,1541,1645,New Haven Police Department,,"Provides law enforcement, crime investigation, crime prevention, emergency assistance, and other police duties for the city of New Haven.","{""open"":{""Wednesday"":[[[8,0],[16,0]]],""Tuesday"":[[[8,0],[16,0]]],""Monday"":[[[8,0],[16,0]]],""Thursday"":[[[8,0],[16,0]]],""Friday"":[[[8,0],[16,0]]]},""closed"":[]}",Mon-Fri 8am-4pm,www.newhavenin.org,,,260-748-7080,
1541,1541,1542,1646,Dekalb County Commissioners,,Serves as the executive and administrative authority for Dekalb County.,"{""open"":{""Friday"":[[[8,30],[16,30]]],""Thursday"":[[[8,30],[16,30]]],""Wednesday"":[[[8,30],[16,30]]],""Tuesday"":[[[8,30],[16,30]]],""Monday"":[[[8,30],[16,30]]]},""closed"":[]}",Mon-Fri 8:30am-4:30pm,www.co.dekalb.in.us,,,260-925-0509,
1542,1542,1543,1647,Golden Rule Ministries,"Golden Rule Ministries Ideal Network Hope And Help Services, Hope & Help Services, Ideal Network",A faith-based nonprofit organization that offers refuge and outreach services for individuals transitioning from homelessness and incarceration.,"{""open"":{""Monday"":[[[9,0],[17,0]]],""Tuesday"":[[[9,0],[17,0]]],""Wednesday"":[[[9,0],[17,0]]],""Thursday"":[[[9,0],[17,0]]],""Friday"":[[[9,0],[17,0]]],""Saturday"":[[[9,0],[17,0]]]},""closed"":[]}",Mon-Sat 9am-5pm,,,,812-664-7419,
